 System:  METHANOL(1) - WATER(2)          

   T(K)     P(bar)    Y(1)     X(1)
 373.1500   1.0411   0.0192   0.0022
 373.1500   1.1032   0.0860   0.0110
 373.1500   1.2411   0.1910   0.0350
 373.1500   1.3376   0.2450   0.0530
 373.1500   1.4272   0.3130   0.0740
 373.1500   1.6478   0.4340   0.1210
 373.1500   1.7651   0.4960   0.1630
 373.1500   2.0477   0.6190   0.2810
 373.1500   2.1650   0.6620   0.3520
 373.1500   2.5097   0.7500   0.5220
 373.1500   2.7096   0.7920   0.6060
 373.1500   2.8200   0.8240   0.6670
 373.1500   3.1164   0.9110   0.8260
 373.1500   3.3440   0.9690   0.9320
 373.1500   3.3715   0.9760   0.9460
 373.1500   3.3715   0.9810   0.9580
