 System:  ACETONE(1) - METHANOL(2)         

   T(K)     P(bar)    Y(1)     X(1)

 373.1500   3.5232   0.0700   0.0470
 373.1500   3.5646   0.0930   0.0680
 373.1500   3.7576   0.1870   0.1460
 373.1500   3.7921   0.2580   0.2200
 373.1500   4.0128   0.4170   0.3970
 373.1500   4.0265   0.5070   0.5070
 373.1500   4.0265   0.5470   0.5620
 373.1500   4.0265   0.5980   0.6240
 373.1500   4.0128   0.6140   0.6410
 373.1500   4.0196   0.6350   0.6600
 373.1500   3.9576   0.7110   0.7470
 373.1500   3.8542   0.8190   0.8700
 373.1500   3.7507   0.9170   0.9520
 373.1500   3.6818   0.9500   0.9770
