   System:  ACETONE(1) - WATER (2)         

   T(K)     P(bar)    Y(1)     X(1)

 373.1500   1.1101   0.0902   0.0033
 373.1500   1.1307   0.1090   0.0040
 373.1500   1.1721   0.1180   0.0045
 373.1500   1.3031   0.2070   0.0080
 373.1500   2.2408   0.5450   0.0480
 373.1500   2.4476   0.6130   0.0820
 373.1500   2.7855   0.6320   0.1080
 373.1500   2.6683   0.6370   0.0980
 373.1500   3.0682   0.7050   0.2200
 373.1500   3.1992   0.7150   0.3080
 373.1500   3.2061   0.7190   0.3160
 373.1500   3.3371   0.7270   0.3970
 373.1500   3.4267   0.7460   0.5260
 373.1500   3.4750   0.7470   0.4800
 373.1500   3.5715   0.8010   0.6960
 373.1500   3.4956   0.8140   0.7150
 373.1500   3.5991   0.8230   0.7420
 373.1500   3.6266   0.8370   0.7710
 373.1500   3.6749   0.8780   0.8540
 373.1500   3.6887   0.9460   0.9440
 373.1500   3.6818   0.9720   0.9710
 373.1500   3.6887   0.9780   0.9770
