150

Acetone(1)/CHCl3(2)/methnaol(3)

T (K)       P(bar)   y1        x1       y2       x2
323.15     .81793    .6499    .5995    .0204    .0309
323.15     .80725    .5974    .5207    .0200    .0269
323.15     .79355    .5502    .4500    .0194    .0232
323.15     .77968    .5126    .3953    .0189    .0204
323.15     .76368    .4701    .3387    .0183    .0175
323.15     .75048    .4388    .2998    .0178    .0155
323.15     .73599    .4098    .2662    .0168    .0135
323.15     .72122    .3729    .2275    .0161    .0117
323.15     .79691    .5617    .4675    .0201    .0247
323.15     .80348    .5842    .5017    .0203    .0265
323.15     .81000    .6106    .5411    .0206    .0286
323.15     .81611    .6414    .5872    .0208    .0310
323.15     .82140    .6792    .6422    .0211    .0339
323.15     .82459    .7246    .7042    .0215    .0372
323.15     .82369    .7850    .7782    .0219    .0411
323.15     .81840    .8448    .8414    .0224    .0444
323.15     .81208    .8903    .8833    .0228    .0466
323.15     .80776    .9168    .9054    .0231    .0478
323.15     .80412    .9370    .9213    .0232    .0486
323.15     .80120    .9538    .9338    .0234    .0493
323.15     .79841    .9644    .9415    .0235    .0497
323.15     .72537    .1998    .1511    .2132    .1420
323.15     .73341    .2113    .1680    .2242    .1580
323.15     .73937    .2221    .1847    .2338    .1737
323.15     .74650    .2375    .2095    .2464    .1969
323.15     .75279    .2543    .2380    .2596    .2239
323.15     .75622    .2712    .2663    .2709    .2504
323.15     .75736    .2900    .2971    .2824    .2794
323.15     .75506    .3128    .3315    .2947    .3118
323.15     .74821    .3414    .3690    .3082    .3470
323.15     .73470    .3778    .4076    .3241    .3834
323.15     .70565    .4334    .4507    .3471    .4239
323.15     .65472    .5265    .4960    .3863    .4666
323.15     .62991    .3397    .3528    .6054    .6297
323.15     .62976    .3793    .3813    .5641    .5998
323.15     .63123    .4197    .4103    .5221    .5693
323.15     .63531    .4723    .4483    .4682    .5295
323.15     .63997    .5108    .4767    .4289    .4997
323.15     .64991    .5701    .5220    .3685    .4521
323.15     .66377    .6290    .5697    .3090    .4020
323.15     .68326    .6922    .6252    .2453    .3438
323.15     .70696    .7535    .6854    .1848    .2806
323.15     .73230    .8059    .7437    .1332    .2194
323.15     .76646    .8644    .8200    .0759    .1393
323.15     .79464    .9040    .8813    .0375    .0750
323.15     .81593    .9294    .9263    .0131    .0278
323.15     .69292    .3526    .3881    .4488    .5148
323.15     .69536    .3840    .4119    .4142    .4850
323.15     .69802    .4187    .4382    .3765    .4521
323.15     .70564    .4590    .4690    .3336    .4136
323.15     .71431    .5035    .5037    .2872    .3702
323.15     .72630    .5514    .5425    .2380    .3217
323.15     .74167    .6004    .5842    .1890    .2696
323.15     .76520    .6623    .6414    .1284    .1981
323.15     .79657    .7270    .7089    .0669    .1137
323.15     .81741    .7635    .7520    .0329    .0597
323.15     .82789    .7800    .7731    .0179    .0334
323.15     .83404    .7894    .7856    .0093    .0177
323.15     .83770    .7954    .7937    .0039    .0076
323.15     .83918    .7981    .7975    .0015    .0030
323.15     .83079    .0549    .0999    .5538    .5005
323.15     .82479    .0615    .1051    .5362    .4744
323.15     .81748    .0693    .1107    .5160    .4462
323.15     .80893    .0794    .1172    .4910    .4137
323.15     .79935    .0913    .1240    .4629    .3798
323.15     .78598    .1094    .1330    .4225    .3350
323.15     .76986    .1341    .1434    .3704    .2826
323.15     .75380    .1631    .1538    .3130    .2305
323.15     .73738    .2024    .1658    .2404    .1708
323.15     .72281    .2411    .1708    .1622    .1097
323.15     .71338    .2870    .1866    .0988    .0669
323.15     .71057    .3078    .1910    .0664    .0446
323.15     .70809    .3232    .1942    .0431    .0288
323.15     .70620    .3353    .1966    .0249    .0166
323.15     .70494    .3438    .1983    .0123    .0082
