 System:  ACETONE(1) - METHANOL(2) - WATER (3)   

 T(K)   P(bar)  Y(1)     X(1)    Y(2)   X(2)
373.15  3.820  0.3230  0.2700  0.6480  0.6790
373.15  3.765  0.9010  0.9160  0.0690  0.0500
373.15  3.923  0.6210  0.6070  0.3390  0.3300
373.15  3.896  0.4300  0.3810  0.5250  0.5490
373.15  3.751  0.3240  0.2570  0.6210  0.6400
373.15  3.647  0.3110  0.2310  0.6240  0.6390
373.15  3.765  0.4550  0.3850  0.4740  0.4790
373.15  3.516  0.2590  0.1770  0.6570  0.6540
373.15  3.482  0.2720  0.1820  0.6290  0.6160
373.15  3.682  0.5930  0.4940  0.2950  0.2940
373.15  3.440  0.3200  0.2010  0.5580  0.5490
373.15  3.461  0.3390  0.1900  0.5350  0.5460
373.15  3.696  0.8080  0.7700  0.0640  0.0590
373.15  3.406  0.3680  0.2200  0.4890  0.4780
373.15  3.647  0.7630  0.6720  0.0770  0.0820
373.15  3.537  0.5410  0.3790  0.2960  0.2990
373.15  3.392  0.4710  0.2750  0.3390  0.3440
373.15  3.530  0.6610  0.4600  0.1450  0.1710
373.15  3.130  0.3080  0.1440  0.4950  0.4400
373.15  2.903  0.1870  0.0750  0.5930  0.4700
373.15  3.206  0.5290  0.2520  0.2290  0.2430
373.15  2.903  0.2940  0.1030  0.4430  0.3450
373.15  3.013  0.4360  0.1670  0.3010  0.2870
373.15  2.799  0.2750  0.0910  0.4420  0.3380
373.15  3.068  0.6580  0.2150  0.0410  0.0330
373.15  2.854  0.4270  0.1280  0.2670  0.2330
373.15  2.758  0.4110  0.1000  0.2610  0.1930
373.15  2.751  0.5030  0.1190  0.1560  0.1190
373.15  2.517  0.3250  0.0690  0.3170  0.1980
373.15  2.372  0.2120  0.0430  0.4190  0.2250
373.15  2.241  0.2080  0.0330  0.4110  0.2040
373.15  2.441  0.4120  0.0660  0.1970  0.1190
373.15  2.165  0.1970  0.0280  0.3960  0.1820
373.15  1.993  0.2480  0.0240  0.2710  0.1070
373.15  2.013  0.3550  0.0310  0.1320  0.0480
373.15  1.765  0.2870  0.0190  0.1480  0.0440
373.15  1.696  0.3140  0.0190  0.0980  0.0290
373.15  1.634  0.2560  0.0150  0.1260  0.0340
373.15  1.558  0.1820  0.0080  0.1460  0.0400

